id,n_crop,n_disease,n_medicine
41-2,[],"['蚜虫', '氟啶虫']","['有机硅', '苦参碱', '阿维菌素', '酰胺', '乙基多杀菌素', '杀虫环']"
41-3,[],['蚜虫'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '乙基多杀菌素']"
42-1,[],['肥害'],['微生物菌剂']
42-2,[],[],['磷酸二氢钾']
42-3,[],['肥害'],['微生物菌剂']
43-1,[],[],['氨基酸二氢钾']
43-2,[],['用药不当'],"['氨基酸', '磷酸二氢钾', '碧护', '芸苔素内酯']"
43-3,[],[],['氨基酸二氢钾']
44-1,[],[],"['氨基酸二氢钾', '水溶肥']"
44-2,[],[],['＋磷酸二氢钾']
44-3,[],[],"['氨基酸二氢钾', '水溶肥']"
45-1,[],"['病毒病', '蚜虫', '白粉虱', '蓟马', '螨虫', '病毒病']","['盐酸', '宁南霉素', '乙酸铜', '阿维菌素']"
45-2,[],['病毒病'],"['宁南霉素', '菌毒清', '植病灵']"
45-3,[],"['病毒病', '蚜虫', '白粉虱', '蓟马', '螨虫', '病毒病']","['盐酸', '宁南霉素', '乙酸铜', '阿维菌素']"
46-1,['辣椒'],['紫斑病'],['钾肥']
46-2,[],['紫斑病'],['磷酸二氢钾']
46-3,['辣椒'],['紫斑病'],['钾肥']
47-1,[],[],['微生物菌剂']
48-1,[],['肥害'],['微生物菌剂']
49-1,[],['肥害'],['微生物菌剂']
49-2,[],['炭疽病'],[]
49-3,[],['肥害'],['微生物菌剂']
50-1,[],['肥害'],['微生物菌剂']
50-2,[],['茶黄螨'],"['哒螨灵', '哒螨灵', '螺螨酯', '乙螨唑', '四螨嗪', '联苯肼酯']"
50-3,[],['肥害'],['微生物菌剂']
51-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
51-2,[],['用药不当'],"['氨基酸', '海藻酸叶面肥']"
51-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
52-1,[],"['病毒病', '蓟马', '蚜虫', '刺吸式害虫', '缺水缺']","['宁南霉素', '盐酸吗啉胍', '氨基寡糖素']"
52-2,[],['病毒病'],[]
52-3,[],"['病毒病', '蓟马', '蚜虫', '刺吸式害虫', '缺水缺']","['宁南霉素', '盐酸吗啉胍', '氨基寡糖素']"
53-1,[],[],"['生物菌肥', '芸苔素内酯']"
53-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
53-3,[],[],"['生物菌肥', '芸苔素内酯']"
54-1,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
54-2,[],"['缺钙', '脐腐病']","['速乐硼', '螯合钙', '磷酸二氢钾']"
54-3,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
55-1,[],"['蚜虫', '氟啶虫']",['吡蚜酮']
55-3,[],"['蚜虫', '氟啶虫']",['吡蚜酮']
56-1,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
56-2,[],['高温灼伤'],"['生物菌肥', '氨基酸叶面肥']"
56-3,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
57-2,[],['炭疽病'],"['阿砣', '苯醚甲环唑', '咪鲜胺锰盐', '腐霉利', '氟硅唑', '啶氧菌酯', '苯甲溴菌腈', '吡唑嘧菌酯', '联苯菊酯', '高效氯氟氰菊酯', '哒螨灵', '氯氰菊酯', '吡虫啉', '哒螨灵']"
57-3,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
58-1,[],['施药不当'],['微生物菌剂']
58-2,[],['炭疽病'],"['阿砣', '苯醚甲环唑', '咪鲜胺锰盐', '腐霉利', '氟硅唑', '啶氧菌酯', '苯甲溴菌腈', '吡唑嘧菌酯']"
58-3,[],['施药不当'],['微生物菌剂']
59-3,[],[],['磷化钙']
60-1,[],['绵疫病'],[]
60-2,[],[],['微生物菌剂']
60-3,[],[],['微生物菌剂']
61-1,[],[],"['氨基酸', '螯合钙']"
61-2,[],"['缺硼', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
61-3,[],"['缺硼', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
62-1,[],[],"['氨基酸', '十芸苔素', '碧护']"
62-2,[],['肥害'],['微生物菌剂']
62-3,[],[],"['氨基酸', '十芸苔素', '碧护']"
63-1,[],['细菌性病害'],"['乙蒜素', '叶枯唑', '生菌素', '氯溴异氰尿酸', '春雷王铜', '春雷霉素', '可杀得', '春雷霉素', '喹啉铜']"
63-2,[],['炭疽病'],"['咪鲜胺', '异菌脲']"
63-3,[],['细菌性病害'],"['乙蒜素', '叶枯唑', '生菌素', '氯溴异氰尿酸', '春雷王铜', '春雷霉素', '可杀得', '春雷霉素', '喹啉铜']"
64-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
64-2,['辣椒'],['疫病'],[]
64-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
65-1,[],"['根腐病', '枯萎病', '枯草芽孢杆菌']","['恶霉灵', '络氨铜']"
65-2,['辣椒'],"['根腐病', '病毒病']","['杀菌剂', '乙蒜素', '甲基硫菌灵', '溴菌腈']"
65-3,[],"['根腐病', '枯萎病', '枯草芽孢杆菌']","['恶霉灵', '络氨铜']"
66-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
66-2,[],"['根系发育不良', '吸收障碍', '供应不足']","['生物菌肥', '磷酸二氢钾', '氨基酸叶面肥']"
66-3,[],"['根系发育不良', '枯草芽孢杆菌']",[]
67-1,[],['高温灼伤'],['微生物菌剂']
67-2,[],['高温干旱'],"['糖醇钙', '硫酸铜', '螯合钙']"
67-3,[],['高温灼伤'],['微生物菌剂']
68-1,[],['疫病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
68-2,['辣椒'],['疫病'],"['锰锌', '烯酰吗啉', '锰锌', '乙铝', '霜霉威盐酸盐', '氰霜唑', '氟吗啉', '锰锌', '磷酸二氢钾', '腐植酸']"
68-3,[],['疫病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
69-1,[],['猝倒病'],"['乙蒜素', '氯溴异氰尿酸', '霜霉威盐酸盐']"
69-2,[],"['猝倒病', '；病害表现']",[]
69-3,[],['猝倒病'],"['乙蒜素', '氯溴异氰尿酸', '霜霉威盐酸盐']"
70-1,[],['灼果'],"['氨基酸', '螯合钙']"
70-2,[],['灼果'],['磷钾肥']
70-3,[],['灼果'],"['氨基酸', '螯合钙']"
71-1,[],[],"['生物菌肥', '芸苔素内酯']"
71-2,[],['土壤板结'],['腐植酸类']
71-3,[],[],"['生物菌肥', '芸苔素内酯']"
72-1,[],['施药不当'],['微生物菌剂']
73-1,[],"['氮肥过量', '缺硼']",[]
73-2,[],"['氮肥过量', '缺硼']","['糖醇钙', '速乐硼', '氨基酸', '磷酸二氢钾', '碧护', '芸苔素']"
74-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
74-2,[],[],['黄腐酸']
75-1,[],[],"['脱肥', '生物菌肥', '芸苔素内酯']"
75-2,[],['枯草芽孢杆菌'],['氨基酸二氢钾']
76-1,[],['灼果'],"['碧护', '氨基酸']"
76-2,[],"['脐腐病', '缺钙']","['氨基酸', '糖醇钙', '碧护', '磷酸二氢钾']"
77-1,[],['肥害'],['微生物菌剂']
77-2,[],[],['碧护']
78-1,[],"['脐腐病', '缺钙']",['螯合钙']
78-2,[],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
79-1,[],['用药不当'],"['碧护', '芸苔素内酯']"
80-1,[],"['炭疽病', '病害表现']","['?异菌脲', '?丙森锌', '?多菌灵', '腈菌唑', '?戊唑醇', '?代森联', '?嘧菌酯']"
80-2,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
81-1,['辣椒'],"['疫病', '；病害表现']","['霜脲锰锌', '甲霜灵', '锰锌', '百菌清', '霜霉威', '多菌合剂']"
81-2,[],['疫病危害'],['克露']
82-1,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
82-2,[],['疫病危害'],['克露']
83-1,[],['潜叶蛾'],"['阿维菌素', '氯虫苯甲酰胺', '酰胺', '酰胺']"
83-2,[],['美洲斑潜蝇'],"['联苯菊酯', '灭蝇胺']"
84-1,[],"['蚜虫', '氟啶虫']",['吡蚜酮']
84-2,[],"['蚜虫', '氟啶虫']","['有机硅', '苦参碱', '阿维菌素', '酰胺', '乙基多杀菌素', '杀虫环']"
85-1,[],[],['水溶肥']
85-2,[],"['供应不足', '着色不良']",['磷酸二氢钾']
86-1,[],['蓟马'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '高效氯氟氰菊酯', '螺虫乙酯']"
86-2,[],['蓟马'],"['烯啶吡蚜酮', '吡虫啉', '高效氯氰菊酯', '吡虫啉', '吡蚜醚菊酯']"
87-1,[],"['根腐病', '枯草芽孢杆菌']",['恶霉灵']
87-2,[],"['根腐病', '枯草芽孢杆菌']",['恶霉灵']
88-1,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯']"
88-2,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
89-1,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
89-2,[],[],"['缺微肥', '氨基酸二轻钾肥', '水溶肥']"
90-1,[],['枯草芽孢杆菌'],['氨基酸二氢钾']
90-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
91-1,[],['枯草芽孢杆菌'],['氨基酸二氢钾']
91-2,[],[],"['生物菌肥', '芸苔素内酯']"
92-1,[],['用药不当'],['碧护']
92-2,[],[],['碧护']
92-3,[],['蓟马'],"['联苯菊酯', '吡蚜酮', '烯啶虫胺']"
93-1,[],[],"['氨基酸', '磷酸二氢钾', '生菌素']"
93-2,[],"['缺硼', '缺钙', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
94-1,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺']"
94-2,[],"['根系发育不良', '枯草芽孢杆菌']",[]
95-1,['辣椒'],"['脐腐病', '缺钙', '生理性病害', '脐腐病']","['螯合钙', '氨基酸', '糖醇钙', '氨基酸叶面肥']"
95-2,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
96-1,[],['肥害'],['微生物菌剂']
96-2,[],[],"['磷酸二氢钾', '芸苔素', '碧护']"
97-1,[],[],"['氨基酸', '十芸苔素', '碧护']"
97-2,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
98-1,[],"['缺钙', '脐腐病']","['速乐硼', '螯合钙', '磷酸二氢钾']"
98-2,['辣椒'],['疫病'],"['氰霜唑', '锰锌', '湿性粉剂']"
99-1,[],['脐腐病'],['合钙肥']
99-2,[],['脐腐病'],"['过磷酸', '氯化钙', '萘乙酸', '硝酸钙', '爱多收']"
100-1,[],['细菌性病害'],"['生菌素', '氢氧化铜', '喹啉铜', '春雷王铜']"
100-2,[],['肥害'],['微生物菌剂']
101-1,[],[],"['细菌性', '喹啉铜', '多抗霉素', '琥胶肥酸铜', '春雷霉素', '生菌素']"
101-2,[],[],['微生物菌剂']
102-1,[],['炭疽病'],"['异菌脲', '丙森锌', '腈菌唑', '戊唑醇', '代森联', '嘧菌酯']"
102-2,[],[],['微生物菌剂']
103-1,[],['炭疽病'],"['异菌脲', '丙森锌', '腈菌唑', '戊唑醇', '代森联', '嘧菌酯']"
103-2,[],[],"['氨基酸', '十芸苔素', '碧护']"
104-1,[],['蓟马'],"['螺虫乙酯', '烯啶虫胺', '噻虫嗪']"
104-2,[],['病毒病'],"['氨基酸', '十芸苔素', '碧护', '宁南霉素', '氨基寡糖素', '盐酸吗啉胍']"
105-1,[],"['土壤盐渍化', '枯草芽孢杆菌']","['腐植酸', '碧护', '磷酸二氢钾']"
105-2,[],['枯草芽孢杆菌'],"['海藻肥', '腐植酸', '磷酸二氢钾', '碧护']"
106-1,[],['霜霉病危害'],['克露']
106-2,[],['白粉病'],"['绿妃', '戊唑醇']"
107-1,[],[],"['碧护', '磷酸二氢钾']"
107-2,[],[],['微生物菌剂']
108-1,[],[],"['碧护', '芸苔素内酯']"
108-2,[],[],"['抑制剂', '微生物菌剂']"
109-1,[],[],"['烯啶虫胺', '阿维菌素']"
109-2,[],[],"['钾肥', '氨基酸']"
109-3,[],[],"['噻虫嗪', '乙螨唑', '叶面肥']"
110-1,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
110-2,[],['炭疽病'],"['阿砣', '苯醚甲环唑', '咪鲜胺锰盐', '腐霉利', '氟硅唑', '啶氧菌酯', '苯甲溴菌腈', '吡唑嘧菌酯']"
111-1,[],[],['甲霜恶霉灵']
111-2,['辣椒'],"['疫霉', '根腐病']",['微生物菌剂']
112-2,[],"['根系发育不良', '病虫害']",[]
113-2,[],['肥害'],"['磷酸', '水溶肥']"
114-1,[],['肥害'],['微生物菌剂']
114-2,[],[],"['生物菌肥', '芸苔素内酯']"
115-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
115-2,[],[],['氨基酸二氢钾']
116-1,[],[],['磷酸二氢钾烧']
117-2,[],['肥害'],['微生物菌剂']
118-1,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
119-1,[],"['脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
119-3,[],"['脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
120-1,[],['肥害'],['微生物菌剂']
120-2,[],[],['氨基酸二氢钾']
120-3,[],['肥害'],['微生物菌剂']
121-1,[],['用药不当'],[]
121-2,[],['肥害'],['微生物菌剂']
121-3,[],['肥害'],['微生物菌剂']
122-2,[],"['茎基腐病', '枯草芽孢杆菌']","['甲霜恶霉灵', '溴菌腈', '络氨铜', '霜霉威盐酸盐']"
122-3,[],"['茎基腐病', '枯草芽孢杆菌']","['甲霜恶霉灵', '溴菌腈', '络氨铜', '霜霉威盐酸盐']"
123-1,[],"['用药不当', '缺素']",['碧护']
123-2,[],['用药不当'],"['氨基酸', '十芸苔素', '碧护']"
123-3,[],"['用药不当', '缺素']",['碧护']
124-1,[],['肥害'],['微生物菌剂']
124-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
124-3,[],['肥害'],['微生物菌剂']
125-1,[],['脐腐病'],['螯合钙']
125-2,[],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
125-3,[],['脐腐病'],['螯合钙']
126-1,[],"['生理性病害', '用药不当']","['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
126-3,[],"['生理性病害', '用药不当']","['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
127-1,[],[],"['联苯菊酯', '高效氯氟氰菊酯', '哒螨灵', '氯氰菊酯', '吡虫啉', '哒螨灵']"
127-2,[],['金龟子'],[]
127-3,[],[],"['联苯菊酯', '高效氯氟氰菊酯', '哒螨灵', '氯氰菊酯', '吡虫啉', '哒螨灵']"
128-1,[],"['脐腐病', '缺钙']",['螯合钙']
128-2,[],"['缺硼', '缺钙', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
128-3,[],"['缺硼', '缺钙', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
129-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
129-2,[],[],"['生物菌肥', '芸苔素内酯']"
129-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
130-1,[],[],['微生物菌剂']
130-2,[],['枯草芽孢杆菌'],"['恶霉灵', '氨基酸二氢钾', '氯溴异氰尿酸']"
130-3,[],[],['微生物菌剂']
131-1,[],['枯草芽孢杆菌'],"['生根剂', '氨基酸']"
131-2,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
131-3,[],['枯草芽孢杆菌'],"['生根剂', '氨基酸']"
132-1,[],['枯草芽孢杆菌'],[]
132-2,[],['根系发育不良'],['微生物菌剂']
132-3,[],['根系发育不良'],['微生物菌剂']
133-1,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
133-2,[],"['缺硼', '缺钙', '缺硼', '缺硼']","['速乐硼', '速乐硼', '糖醇钙']"
133-3,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
134-1,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
134-2,[],['肥害'],['微生物菌剂']
134-3,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
135-1,[],"['枯萎病', '枯草芽孢杆菌']",['甲霜恶霉灵']
135-2,['辣椒'],['疫病'],"['氰霜唑', '锰锌', '湿性粉剂']"
135-3,['辣椒'],['疫病'],"['氰霜唑', '锰锌', '湿性粉剂']"
136-1,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '普力克', '雷多米尔', '湿性粉剂', '霜疫清', '湿性粉剂', '百菌清', '湿性粉剂', '甲霜灵', '湿性粉剂', '克露', '湿性粉剂', '肟菌酯', '锰锌', '湿性粉剂']"
136-2,[],['枯萎病'],"['噻菌铜', '辛菌胺醋酸盐', '福美双', '稻瘟灵']"
136-3,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '普力克', '雷多米尔', '湿性粉剂', '霜疫清', '湿性粉剂', '百菌清', '湿性粉剂', '甲霜灵', '湿性粉剂', '克露', '湿性粉剂', '肟菌酯', '锰锌', '湿性粉剂']"
137-1,[],[],"['细菌性', '喹啉铜', '多抗霉素', '琥胶肥酸铜', '春雷霉素', '生菌素']"
137-2,[],['肥害'],['微生物菌剂']
137-3,[],[],"['细菌性', '喹啉铜', '多抗霉素', '琥胶肥酸铜', '春雷霉素', '生菌素']"
138-1,[],"['病毒病', '抗病威', '病毒病', '病情严重']","['植病灵', '病毒立克']"
138-2,[],['紫斑病'],"['生物菌肥', '芸苔素内酯']"
138-3,[],"['病毒病', '抗病威', '病毒病', '病情严重']","['植病灵', '病毒立克']"
139-1,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
139-2,[],[],"['生物菌肥', '芸苔素内酯']"
139-3,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
140-1,[],['炭疽病'],"['异菌脲', '丙森锌', '腈菌唑', '戊唑醇', '代森联', '嘧菌酯']"
