id,text,n_corp,n_disease,n_medicine
10-2,辣椒根腐病危害，建议选用内吸性杀菌剂乙蒜素 + 甲基硫菌灵、溴菌腈等配合碧护或阿泰灵喷施防治。,['辣椒'],['根腐病'],"['杀菌剂', '乙蒜素', '+ 甲基硫菌灵', '溴菌腈', '碧护']"
11-1,用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
11-2,你好，注意疫病，防治可用烯酰吗啉，氟吗啉，霜霉威盐酸盐，霜脲锰锌，甲霜锰锌，增威赢绿，银法利，氰霜唑防治,[],['疫病'],"['烯酰吗啉', '，氟吗啉', '，霜霉威盐酸盐', '，霜脲锰锌甲霜锌', '，氰霜唑']"
12-1,日烧病，建议喷施益沛蔬复合微生物菌剂或阿泰灵等，提高抗逆性。,[],['病'],['微生物菌剂']
12-2,日灼果叶面喷施熬合钙肥缓解,[],['灼果'],[]
13-1,疫病对口杀菌剂药效较好的有 80% 大生可湿性粉剂、58% 代森锰锌可湿性粉剂、72·2% 普力克、50% 安克、53% 雷多米尔、60% 灭克可湿性粉剂、52·5% 抑快净水分散粒剂、72% 霜疫清可湿性粉剂、75% 百菌清可湿性粉剂、50% 甲霜灵铜可湿性粉剂、72% 杜邦克露可湿性粉剂、25% 烯肟菌酯乳油、25% 阿米西达悬乳剂、69% 的安克锰锌可湿性粉剂,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '72·2% 普力克% 雷多米尔', '湿性粉剂', '72% 霜疫清', '湿性粉剂', '75% 百菌清', '湿性粉剂甲霜灵', '湿性粉剂', '克露', '湿性粉剂%肟菌酯锌', '湿性粉剂']"
13-2,疫病用烯酰吗啉霜霉威防治,[],['疫病'],"['烯酰吗啉', '霜霉威']"
14-1,脐腐病这种情况是由于生理性缺钙造成建议叶面喷施氨基酸钙或糖醇钙 + 碧护 + 磷酸二氢钾喷雾调节防治,[],['脐腐病钙'],"['氨基', '糖醇钙', '+ 碧护', '+ 磷酸二氢钾']"
14-2,疫病对口杀菌剂药效较好的有 80% 大生可湿性粉剂、58% 代森锰锌可湿性粉剂、72·2% 普力克、50% 安克、53% 雷多米尔、60% 灭克可湿性粉剂、52·5% 抑快净水分散粒剂、72% 霜疫清可湿性粉剂、75% 百菌清可湿性粉剂、50% 甲霜灵铜可湿性粉剂、72% 杜邦克露可湿性粉剂、25% 烯肟菌酯乳油、25% 阿米西达悬乳剂、69% 的安克锰锌可湿性粉剂,[],['疫病'],"['杀菌剂', '湿性粉剂', '代森锰锌', '湿性粉剂', '72·2% 普力克% 雷多米尔', '湿性粉剂', '72% 霜疫清', '湿性粉剂', '75% 百菌清', '湿性粉剂甲霜灵', '湿性粉剂', '克露', '湿性粉剂%肟菌酯锌', '湿性粉剂']"
15-1,干旱严重了，枯萎病，根腐病，青枯病都有可能,[],['萎病腐病枯病'],[]
15-2,不是青枯病，考虑温度不适或根系吸收不好，可用腐植酸灌根，叶面喷施碧护，磷酸二氢钾缓解,[],['青枯病'],"['腐植酸', '碧护', '，磷酸二氢钾']"
16-1,高温日灼或生理性缺硼钙导致的，可叶面喷施速乐硼，螯合钙，磷酸二氢钾调理,[],['硼'],"['速乐硼', '，螯合钙', '，磷酸二氢钾']"
16-2,高温灼伤。建议喷施益沛蔬复合微生物菌剂或阿泰灵等，提高抗逆性。,[],['高温灼伤'],['微生物菌剂']
17-1,考虑温度不适或根系发育不良导致建议随水冲施腐殖酸 + 枯草芽孢杆菌，促进根系生长发育，叶面喷施碧护 + 磷酸二氢钾调节生长,[],['根系发育不枯草芽孢杆菌'],"['碧护', '+ 磷酸二氢钾']"
18-1,如果大面积发生，考虑温度不适或药害导致个别现象考虑炭疽病危害叶面可用碧护 + 肟菌戊唑醇 + 磷酸二氢钾或氨基酸叶面肥调节,[],['炭疽'],"['碧护', '+ 肟菌戊唑醇', '+ 磷酸二氢钾', '氨基酸叶面肥']"
18-2,炭疽病，用咪鲜胺锰盐，苯甲溴菌腈，腐霉利，炭疽福美，溴菌腈，啶氧菌酯，吡唑醚菌酯喷雾防治。,[],['炭疽病疽'],"['咪鲜胺锰盐', '，苯甲溴菌腈', '，腐霉利', '，溴菌腈', '，啶氧菌酯', '，吡唑醚菌酯']"
18-3,如果大面积发生，考虑温度不适或药害导致个别现象考虑炭疽病危害叶面可用碧护 + 肟菌戊唑醇 + 磷酸二氢钾或氨基酸叶面肥调节,[],['炭疽'],"['碧护', '+ 肟菌戊唑醇', '+ 磷酸二氢钾', '氨基酸叶面肥']"
19-1,煤污病用腐霉利嘧霉胺异菌脲联苯菊酯螺虫乙酯噻虫嗪,[],['煤污病'],"['腐霉利', '嘧霉胺', '异菌脲联苯菊酯', '螺虫乙酯', '噻虫嗪']"
19-2,多考虑，低温冻害天气变化。温度不适，根系吸收不良，或者用药，导致生理性症状，可用生物菌肥灌根养根，叶面芸苔素内酯喷雾缓解,[],[],"['生物菌肥', '芸苔素内酯']"
19-3,煤污病用腐霉利嘧霉胺异菌脲联苯菊酯螺虫乙酯噻虫嗪,[],['煤污病'],"['腐霉利', '嘧霉胺', '异菌脲联苯菊酯', '螺虫乙酯', '噻虫嗪']"
20-1,根腐病 - 属于土传播疾病，由土壤中残留病菌传染导致建议用 25% 甲霜·霜霉威 125-187 克 / 亩喷雾50% 王铜·甲霜灵 100-125 克 / 亩喷雾56% 甲硫·恶霉灵 600-800 倍液灌根10 亿个 / 克枯草芽孢杆菌 150-200 克 / 亩喷雾20% 二氯异氰脲酸钠 300-400 倍液灌根30% 精甲·恶霉灵 15-18 毫升 / 亩喷雾3% 甲霜·恶霉灵 500-700 倍液灌根可以用以上药剂 + 生根剂喷淋茎杆灌根防治,[],"['根腐病', '枯草芽孢杆菌']","['% 甲霜·霜霉威王铜', '甲霜灵% 甲硫霉灵二氯钠霉灵% 甲霜霉灵根剂']"
20-2,疫霉茎基腐病危害。建议选用 68·75% 霜霉威盐·氟吡菌胺悬浮液剂 800 倍液、50% 烯酰吗啉可湿性粉剂 1000 倍液等喷施防治。,[],['疫霉基腐病'],"['5% 霜霉威盐·氟吡菌胺烯酰吗啉', '湿性粉剂']"
20-3,根腐病 - 属于土传播疾病，由土壤中残留病菌传染导致建议用 25% 甲霜·霜霉威 125-187 克 / 亩喷雾50% 王铜·甲霜灵 100-125 克 / 亩喷雾56% 甲硫·恶霉灵 600-800 倍液灌根10 亿个 / 克枯草芽孢杆菌 150-200 克 / 亩喷雾20% 二氯异氰脲酸钠 300-400 倍液灌根30% 精甲·恶霉灵 15-18 毫升 / 亩喷雾3% 甲霜·恶霉灵 500-700 倍液灌根可以用以上药剂 + 生根剂喷淋茎杆灌根防治,[],"['根腐病', '枯草芽孢杆菌']","['% 甲霜·霜霉威王铜', '甲霜灵% 甲硫霉灵二氯钠霉灵% 甲霜霉灵根剂']"
21-1,霜霉病，可选用银发利、増威赢绿，甲霜·锰锌或霜脲·锰锌、烯酰·锰锌、嘧菌酯、氰霜唑、霜脲氰、烯酰吗啉、氟吗啉等杀菌剂进行喷雾防治。,[],['霜霉病'],"['，甲霜·锰锌', '霜脲·锰锌', '烯酰·锰锌', '嘧菌酯', '氰霜唑', '霜脲氰', '烯酰吗啉', '氟吗啉', '杀菌剂']"
21-2,霜霉病危害使用银法利或克露或增威赢绿防治,[],['霜霉病'],['克露']
21-3,霜霉病，可选用银发利、増威赢绿，甲霜·锰锌或霜脲·锰锌、烯酰·锰锌、嘧菌酯、氰霜唑、霜脲氰、烯酰吗啉、氟吗啉等杀菌剂进行喷雾防治。,[],['霜霉病'],"['，甲霜·锰锌', '霜脲·锰锌', '烯酰·锰锌', '嘧菌酯', '氰霜唑', '霜脲氰', '烯酰吗啉', '氟吗啉', '杀菌剂']"
22-1,土壤环境差，用腐植酸和枯草芽孢杆菌灌墩。,[],['枯草芽孢杆菌'],['腐植酸']
22-2,考虑温度不适或土壤环境差，根系发育不良导致建议随水冲施腐殖酸 + 枯草芽孢杆菌，促进根系生长发育，叶面喷施碧护 + 磷酸二氢钾调节生长,[],['系发育不枯草芽孢杆菌'],"['碧护', '+ 磷酸二氢钾']"
22-3,土壤环境差，用腐植酸和枯草芽孢杆菌灌墩。,[],['枯草芽孢杆菌'],['腐植酸']
23-1,果子小，就开始发红着色，考虑温度，光照，用肥问题，或者土壤水分含量过低，等因素导致，建议合理增加光合作用，避免夜温过高，避免偏重钾肥，合理疏果，促进果子膨大，着色。,[],[],['钾肥']
23-2,光合营养物质供应不足造成的。建议喷施磷酸二氢钾 + 苯肽胺酸，调节水分和茎叶光合营养物质向果实运转。,[],['供应不足'],['磷酸二氢钾 ']
23-3,果子小，就开始发红着色，考虑温度，光照，用肥问题，或者土壤水分含量过低，等因素导致，建议合理增加光合作用，避免夜温过高，避免偏重钾肥，合理疏果，促进果子膨大，着色。,[],[],['钾肥']
24-1,是疫病危害，可选用银法利或增威赢绿等喷施防治。,[],['疫病危害'],[]
24-2,建议控制氮肥用量，增加磷、钾肥，叶面用碧护 + 速乐硼 + 鳌合钙喷施调节,[],[],"['钾肥', '碧护', '+ 速乐硼', '+ 鳌合钙']"
24-3,是疫病危害，可选用银法利或增威赢绿等喷施防治。,[],['疫病危害'],[]
25-2,考虑温度不适或土壤环境差，根系发育不良导致建议随水冲施腐殖酸 + 枯草芽孢杆菌，促进根系生长发育，叶面喷施碧护 + 磷酸二氢钾调节生长,[],['系发育不枯草芽孢杆菌'],"['碧护', '+ 磷酸二氢钾']"
26-1,温度不适或药害导致叶面可用碧护 + 磷酸二氢钾或氨基酸叶面肥调节,[],[],"['碧护', '+ 磷酸二氢钾', '氨基酸叶面肥']"
26-2,温度不适，用药不当，叶面喷施碧护或芸苔素内酯缓解。,[],['药不当'],"['碧护', '芸苔素内酯']"
26-3,温度不适或药害导致叶面可用碧护 + 磷酸二氢钾或氨基酸叶面肥调节,[],[],"['碧护', '+ 磷酸二氢钾', '氨基酸叶面肥']"
27-1,茎基腐病，用恶霉灵加枯草芽孢杆菌灌墩。,[],"['茎基腐病', '枯草芽孢杆菌']",['恶霉灵']
27-2,疫霉茎基腐病危害，可选用 10% 氰霜唑悬浮剂 200 倍液、58% 精甲霜·锰锌可湿性粉剂 600 倍液等喷淋茎基防治。,[],['疫霉基腐病'],"['氰霜唑% 甲霜·锰锌', '湿性粉剂']"
28-1,土壤酸化严重，增施有机肥和生物菌肥，用硅钙钾镁肥调理。,[],[],"['有机肥', '生物菌肥']"
28-3,土壤酸化严重，增施有机肥和生物菌肥，用硅钙钾镁肥调理。,[],[],"['有机肥', '生物菌肥']"
29-1,脐腐病，缺钙引起。叶面喷施螯合钙。,[],"['脐腐病', '，缺钙']",['螯合钙']
29-2,辣椒脐腐病危害，缺钙造成的。建议控制氮、钾肥施用量，以防影响钙的吸收与运转。喷施糖醇钙或氨基酸钙等防治。,['辣椒'],"['脐腐病', '，缺钙']","['钾肥', '糖醇钙', '氨基']"
29-3,辣椒脐腐病危害，缺钙造成的。建议控制氮、钾肥施用量，以防影响钙的吸收与运转。喷施糖醇钙或氨基酸钙等防治。,['辣椒'],"['脐腐病', '，缺钙']","['钾肥', '糖醇钙', '氨基']"
30-1,土壤环境差根系发育不良冲施腐殖酸枯草芽孢杆菌,[],"['根系发育不良', '枯草芽孢杆菌']",[]
30-2,图片显示是施药不当造成的药害。可选用益沛蔬复合微生物菌剂或阿泰灵等喷施缓解。,[],['施药不当'],['微生物菌剂']
30-3,土壤环境差根系发育不良冲施腐殖酸枯草芽孢杆菌,[],"['根系发育不良', '枯草芽孢杆菌']",[]
31-1,病毒感染叶面喷施氨基寡糖素或宁南霉素或香菇多糖防治,[],[],"['氨基寡糖素', '宁南霉素']"
31-2,打什么药了没有？似药害，叶面喷施氨基酸十芸苔素或碧护缓解。,[],[],"['氨基酸', '十芸苔素', '碧护']"
31-3,病毒感染叶面喷施氨基寡糖素或宁南霉素或香菇多糖防治,[],[],"['氨基寡糖素', '宁南霉素']"
32-1,你好，打药没有？考虑用药不当药害引起，可用碧护或者阿泰灵或者芸苔素内酯，复配氨基酸叶面肥或者黄腐酸钾叶面肥，磷酸二氢钾，喷雾调节，连用二次,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '叶面肥', '，磷酸二氢钾']"
32-2,温度不适或药害导致叶面可用碧护 + 磷酸二氢钾或氨基酸叶面肥调节,[],[],"['碧护', '+ 磷酸二氢钾', '氨基酸叶面肥']"
32-3,你好，打药没有？考虑用药不当药害引起，可用碧护或者阿泰灵或者芸苔素内酯，复配氨基酸叶面肥或者黄腐酸钾叶面肥，磷酸二氢钾，喷雾调节，连用二次,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '叶面肥', '，磷酸二氢钾']"
33-1,你好，考虑茎基腐病，防治可用精甲霜灵咯菌腈，枯草芽孢杆菌复配甲霜恶霉灵灌根淋根处理，连用二到三次，间隔五到七天，注意控水。,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
33-2,茎基腐病：是土壤病菌消毒处理不当或重茬导致；病菌感染根系茎杆，植株枯萎死亡，用恶霉灵，枯草芽孢杆菌，多抗霉素灌根防治,[],"['茎基腐病', '枯草芽孢杆菌']","['恶霉灵', '，多抗霉素']"
33-3,你好，考虑茎基腐病，防治可用精甲霜灵咯菌腈，枯草芽孢杆菌复配甲霜恶霉灵灌根淋根处理，连用二到三次，间隔五到七天，注意控水。,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
34-1,似僵蚜，被蚜茧蜂寄生的蚜虫。,[],['蚜虫'],[]
34-2,蚜虫危害，可选用 50% 氟啶虫胺腈水分散剂 10000 倍液、75% 螺虫·吡蚜酮水分散剂 4000 倍液等喷施防治。,[],['蚜虫'],['% 螺虫蚜酮']
34-3,蚜虫危害，可选用 50% 氟啶虫胺腈水分散剂 10000 倍液、75% 螺虫·吡蚜酮水分散剂 4000 倍液等喷施防治。,[],['蚜虫'],['% 螺虫蚜酮']
35-1,霜霉病危害，建议选用 68·75% 霜霉威盐·氟吡菌胺悬浮液剂 800 倍液、50% 烯酰吗啉可湿性粉剂 1000 倍液等喷施防治。,[],['霜霉病'],"['5% 霜霉威盐·氟吡菌胺烯酰吗啉', '湿性粉剂']"
35-2,霜霉病；防治方法：霜霉病预防可用丙森锌，代森锌，丙森锌，嘧菌酯，铜制剂，治用甲霜灵，精甲霜灵，烯酰吗啉，氟吗啉，霉多克，霜霉威等。,[],"['霜霉病', '霜霉病']","['丙森锌', '，代森锌', '，丙森锌', '，嘧菌酯', '甲霜灵', '，精甲霜灵', '，烯酰吗啉', '，氟吗啉霉多', '，霜霉威']"
35-3,霜霉病危害，建议选用 68·75% 霜霉威盐·氟吡菌胺悬浮液剂 800 倍液、50% 烯酰吗啉可湿性粉剂 1000 倍液等喷施防治。,[],['霜霉病'],"['5% 霜霉威盐·氟吡菌胺烯酰吗啉', '湿性粉剂']"
36-1,你好，考虑茎基腐病，防治可用精甲霜灵咯菌腈，枯草芽孢杆菌复配甲霜恶霉灵灌根淋根处理，连用二到三次，间隔五到七天，注意控水。,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
36-2,茎基腐，根腐病 ，可以选用甲霜灵，或·恶霉灵、络氨铜、枯草芽孢杆菌，等药剂灌根防治，可加腐殖酸、氨基酸。,[],"['腐病', '枯草芽孢杆菌']","['甲霜灵', '恶霉灵', '络氨铜', '氨基酸']"
36-3,你好，考虑茎基腐病，防治可用精甲霜灵咯菌腈，枯草芽孢杆菌复配甲霜恶霉灵灌根淋根处理，连用二到三次，间隔五到七天，注意控水。,[],"['茎基腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵']"
37-1,您好，脐腐病，脐腐病主要是缺钙引起的，用活性硝酸钙根施，叶面用氨基酸加螯合钙喷雾。,[],"['腐病腐病', '缺钙']","['硝酸钙', '氨基酸']"
37-2,是的缺钙引起的脐腐病,[],"['缺钙', '脐腐病']",[]
37-3,您好，脐腐病，脐腐病主要是缺钙引起的，用活性硝酸钙根施，叶面用氨基酸加螯合钙喷雾。,[],"['腐病腐病', '缺钙']","['硝酸钙', '氨基酸']"
38-1,用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
38-2,药害导致叶面可用碧护 + 磷酸二氢钾或氨基酸叶面肥调节,[],[],"['碧护', '+ 磷酸二氢钾', '氨基酸叶面肥']"
38-3,药害导致叶面可用碧护 + 磷酸二氢钾或氨基酸叶面肥调节,[],[],"['碧护', '+ 磷酸二氢钾', '氨基酸叶面肥']"
39-1,除草剂残留药害，可叶面喷施碧护，磷酸二氢钾缓解,[],[],"['碧护', '，磷酸二氢钾']"
39-2,打什么药了没有？似药害，叶面喷施氨基酸十芸苔素或碧护缓解。,[],[],"['氨基酸', '十芸苔素', '碧护']"
39-3,除草剂残留药害，可叶面喷施碧护，磷酸二氢钾缓解,[],[],"['碧护', '，磷酸二氢钾']"
40-1,疫病危害，建议选用 68·75% 霜霉威盐·氟吡菌胺悬浮液剂 800 倍液、50% 烯酰吗啉可湿性粉剂 1000 倍液等喷施防治。,[],['疫病危害'],"['5% 霜霉威盐·氟吡菌胺烯酰吗啉', '湿性粉剂']"
40-2,脐腐病，缺钙导致的，叶面喷施氨基酸钙或螯合钙调节。,[],"['脐腐病', '，缺钙']","['氨基', '螯合钙']"
40-3,疫病危害，建议选用 68·75% 霜霉威盐·氟吡菌胺悬浮液剂 800 倍液、50% 烯酰吗啉可湿性粉剂 1000 倍液等喷施防治。,[],['疫病危害'],"['5% 霜霉威盐·氟吡菌胺烯酰吗啉', '湿性粉剂']"
41-1,疫病危害使用银法利或克露或增威赢绿防治,[],['疫病危害'],['克露']
41-2,疫病用先正达瑞凡，双炔酰菌胺 1500-2000 倍液先正达金雷，精甲霜锰锌 100-120 克 / 亩先正达杀毒矾，杀毒矾恶霜灵 + 代森锰锌 200-250 克 / 亩杜邦克露，霜脲锰锌 100-150 克 / 亩杜邦增威赢绿 2000-3000 倍液拜耳银法利 60-75 克 / 亩,[],['疫病'],"['，双炔酰菌胺甲霜锌', '杀毒矾', '，杀毒矾', '恶霜灵', '+ 代森锰锌', '克露', '，霜脲锰锌']"
41-3,疫病危害使用银法利或克露或增威赢绿防治,[],['疫病危害'],['克露']
42-1,用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
42-2,肥害或药害等外力损伤造成的，不是病菌性病害。可选用益沛蔬复合微生物菌剂或阿泰灵等喷施缓解。,[],['肥害'],['微生物菌剂']
42-3,肥害或药害等外力损伤造成的，不是病菌性病害。可选用益沛蔬复合微生物菌剂或阿泰灵等喷施缓解。,[],['肥害'],['微生物菌剂']
43-1,建议使用黄腐酸钾上喷下灌养根护叶进行调理。,[],[],[]
43-2,土壤板结，透气性差，温度低湿度大，导致根系吸收障碍生长不良，冲施腐殖酸水溶肥或者生物菌肥，叶面喷施海藻酸或者磷酸二氢钾加芸苔素或者碧护调理。,[],"['土壤板结', '根系吸收障碍']","['水溶肥', '生物菌肥', '海藻酸', '磷酸二氢钾', '碧护']"
43-3,建议使用黄腐酸钾上喷下灌养根护叶进行调理。,[],[],[]
44-1,脐腐病 - 这种情况是由于生理性缺钙造成建议叶面喷施氨基酸钙或糖醇钙 + 碧护 + 磷酸二氢钾喷雾调节防治,[],['脐腐病钙'],"['氨基', '糖醇钙', '+ 碧护', '+ 磷酸二氢钾']"
45-1,白粉病在叶正面有白色霉层，霜霉病在叶正面是黄点，叶背面有灰色霉层,[],"['白粉病', '霜霉病']",[]
45-2,辣椒的霜霉病与白粉病都是以危害叶片为主。在感染霜霉病初期，辣椒叶片正面病斑呈浅绿色，而在感染白粉病初期，辣椒病叶正面出现退绿色小黄点，后来逐渐扩展为边缘不明显的退绿色黄色斑驳。危害严重时，霜霉病会在辣椒叶片背面形成稀疏的白色霉层，病叶变脆变厚并上卷，在叶柄处染病呈褐色水浸状。白粉病在辣椒叶片背面形成的是白色粉状物，而不是霉层，并且病斑密布，严重时全叶变黄脱落。,"['辣椒椒椒', '辣椒', '辣椒']","['霜霉病', '白粉病', '霜霉病初期', '病斑', '白粉病初期', '霜霉病', '白粉病', '病斑']",[]
46-1,脐腐病，缺钙引起，叶面喷施螯合钙。,[],"['脐腐病', '，缺钙']",['螯合钙']
46-2,脐腐病，是缺钙造成的生理性病害，座果后及时喷施硼肥钙肥防治，可以减少脐腐病发生,[],"['脐腐病', '缺钙', '生理性', '脐腐病']",[]
47-1,根腐病用恶霉灵加枯草芽孢杆菌灌根防治或用甲基立枯磷灌根防治或用生根剂加恶霉灵加甲霜灵灌根防治，用药做好二次稀释，7 到 10 天用药一次,[],"['根腐病', '枯草芽孢杆菌']","['恶霉灵', '甲基立枯磷', '恶霉灵', '甲霜灵']"
47-2,根腐病属于土传播疾病，由土壤中残留病菌传染导致建议用 25% 甲霜·霜霉威 125-187 克 / 亩喷雾50% 王铜·甲霜灵 100-125 克 / 亩喷雾56% 甲硫·恶霉灵 600-800 倍液灌根10 亿个 / 克枯草芽孢杆菌 150-200 克 / 亩喷雾20% 二氯异氰脲酸钠 300-400 倍液灌根30% 精甲·恶霉灵 15-18 毫升 / 亩喷雾3% 甲霜·恶霉灵 500-700 倍液灌根可以用以上药剂 + 生根剂喷淋茎杆灌根防治,[],"['根腐病', '枯草芽孢杆菌']","['% 甲霜·霜霉威王铜', '甲霜灵% 甲硫霉灵二氯钠霉灵% 甲霜霉灵根剂']"
48-2,冲施腐殖酸平衡水溶肥，喷施芸苔素氨基酸二氢钾缓解,[],[],"['水溶肥苔', '氨基酸二氢']"
49-1,你好，注意炭疽病，防治可用，42·8% 氟菌肟菌酯 1500 倍液10% 苯醚甲环唑 1500 倍液25% 吡唑醚菌酯 1500 倍液75% 肟菌戊唑醇 4000/6000 倍液45% 咪鲜胺 750/1000 倍液22·5% 啶氧菌酯，也可以用咪鲜胺丙森锌，咪鲜胺异菌脲，吡唑醚菌酯。结合二氢钾或者氨基酸叶面肥交替用药,[],['炭疽病'],"['% 氟菌肟菌酯苯醚甲环唑% 吡唑醚菌酯', '75% 肟菌戊唑醇', '45% 咪鲜胺·5% 啶氧菌酯', '咪鲜胺', '丙森锌', '，咪鲜胺', '异菌脲', '，吡唑醚菌酯二氢', '氨基酸叶面肥']"
49-2,炭疽病用苯醚甲环唑 1000-1500 倍液，先正达阿米妙收，吡唑醚菌酯，750-1500 倍液，杜邦的阿砣，啶氧菌酯 1500-2000 倍液拜耳好力克，戊唑醇 3000-4000 倍液先正达好迪施，百菌清 100-150 克 / 亩,[],['炭疽病'],"['苯醚甲环唑', '，吡唑醚菌酯', '阿砣', '，啶氧菌酯', '，戊唑醇', '，百菌清']"
50-1,你好，病斑很干净，考虑温度不适，考虑药害，气害灼伤导致生理性缺水，可用碧护或者芸苔素内酯，磷酸二氢钾，氨基酸叶面肥或者黄腐酸钾叶面肥喷雾缓解。,[],"['，病斑', '，气伤']","['碧护', '芸苔素内酯', '，磷酸二氢钾基酸叶面肥', '叶面肥']"
50-2,用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
51-1,温度不适或是用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
51-2,生理性温度不适，喷施芸苔素氨基酸二轻钾肥促进缓解，根部冲施水溶肥腐殖酸加恶霉灵,[],[],"['氨基酸二轻钾', '水溶肥', '恶霉灵']"
