id,text,n_crop,n_disease,n_medicine
6-3,多/ad 考虑/n_new ，脱肥/n_medicine 了/ule 注意/v ，天气变化/n_new 。/wj 温度/n_new 不适/a ，根系吸收/n_new 不良/a ，或者/c 用药/n_new ，导致/v 生理性/n_new 症状/n ，可用/v 生物菌肥/n_medicine 灌根/n_new 养根/n_new ，叶面/n 芸苔素内酯/n_medicine 喷雾/n_new 缓解/n_new ,[],[],"['脱肥', '生物菌肥', '芸苔素内酯']"
7-1,可用/v 腐植酸/n_medicine ，枯草芽孢杆菌/n_disease 灌根/n_new ，促进根系生长/n_new ，叶面喷施/n_new 速乐硼/n_medicine ，螯合钙/n_medicine ，磷酸二氢钾/n_medicine 缓解/n_new ,[],['枯草芽孢杆菌'],"['腐植酸', '速乐硼', '螯合钙', '磷酸二氢钾']"
7-2,缺硼/n_disease 钙/n ，肥料/n 不足/an ，用/v 腐植酸/n_medicine 和/cc 枯草芽孢杆菌/n_disease 灌/v 墩/ng ，叶面喷施/n_new 速乐硼/n_medicine 螯合钙/n_medicine 。/wj ,[],"['缺硼', '枯草芽孢杆菌']","['腐植酸', '速乐硼', '螯合钙']"
7-3,应/v 是/vshi 茎/n 叶/ng 旺/ad 长/v 造成/v 光合/n_new 营养物质/n_new 供应不足/n_disease 。/wj 建议选用/n_new 以/p 调环酸钙/n_medicine 为/p 主要成分/n_new 的/ude1 ”/wyy 小/a 胖墩/n “/wyz 喷施/n_new 抑制/v 茎/n 叶/ng 生长/v ，促/v 花/n 、/wn 果/ng 发育/vi 。/wj ,[],['供应不足'],['调环酸钙']
8-1,脐腐病/n_disease ，是/vshi 缺钙/n_disease 造成/v 的/ude1 生理性病害/n_disease ，座/q 果/ng 后/f 及时/ad 喷施/n_new 硼/n 肥/a 钙肥/n 防治/vn ，可以/n_new 减少/v 脐腐病/n_disease 发生/v ,[],"['脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
8-2,辣椒/n_crop 脐腐病/n_disease ，  缺钙/n_disease 所/usuo 造成/v 的/ude1   生理性病害/n_disease 。/wj 在/p 开花结果/vl 期间/f ，叶面喷施/n_new 螯合钙/n_medicine 、/wn 氨基酸/n_medicine 钙/n 或者/c 糖醇钙/n_medicine 加/b 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag ，能/v 明显/ad 减轻/v 脐腐病/n_disease 的/ude1 发生/vn 和/cc 危害/vn 。/wj ,['辣椒'],"['脐腐病', '缺钙', '生理性病害', '脐腐病']","['螯合钙', '氨基酸', '糖醇钙', '氨基酸叶面肥']"
8-3,脐腐病/n_disease ，缺钙/n_disease 引起/v ，叶面喷施/n_new 螯合钙/n_medicine 。/wj ,[],"['脐腐病', '缺钙']",['螯合钙']
9-1,脐腐病/n_disease   脐腐病/n_disease ，是/vshi 缺钙/n_disease 造成/v 的/ude1 生理性病害/n_disease ，座/q 果/ng 后/f 及时/ad 喷施/n_new 硼/n 肥/a 钙肥/n 防治/vn ，可以/n_new 减少/v 脐腐病/n_disease 发生/v ,[],"['脐腐病', '脐腐病', '缺钙', '生理性病害', '脐腐病']",[]
9-3,脐腐病/n_disease ，缺钙/n_disease 导致/v 的/ude1 ，叶面喷施/n_new 氨基酸/n_medicine 钙/n 或/c 螯合钙/n_medicine 。/wj ,[],"['脐腐病', '缺钙']","['氨基酸', '螯合钙']"
10-1,土壤环境/n_new 差/a 根系发育不良/n_disease 引起/v 的/ude1 早衰/vi ,[],['根系发育不良'],[]
10-2,根系吸收/n_new 不良/a ，冲施/n_new 腐/vg 殖/w 酸/n 促进根系生长/n_new ，叶面喷施/n_new 氨基酸/n_medicine 十磷酸二氢钾/n_medicine 调节/n_new 。/wj ,[],[],"['氨基酸', '十磷酸二氢钾']"
10-3,主要/d 是/vshi 根系发育不良/n_disease 吸收能力/n_new 差/a ，造成/v 基/ng 部/q 叶片/n 早衰/vi 。/wj 建议/n 喷施/n_new 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 甲壳素/n_medicine 等/udeng ，促进根系发育/n_new 。/wj ,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
11-1,若/c 普遍发生/n_new 考虑/n_new 是/vshi 用药不当/n_disease 导致/v 的/ude1 ，叶面喷施/n_new 氨基酸/n_medicine 十芸苔素/n_medicine 或/c 碧护/n_medicine 缓解/n_new ；/wf 个别/n_new 株/q 发生/v 考虑/n_new 是/vshi 病毒病/n_disease ，用/p 宁南霉素/n_medicine ，氨基寡糖素/n_medicine ，香菇/n 多糖/n_new ，盐酸吗啉胍/n_medicine 等/v 防治/vn 。/wj ,[],"['用药不当', '病毒病']","['氨基酸', '十芸苔素', '碧护', '宁南霉素', '氨基寡糖素', '盐酸吗啉胍']"
11-2,图片显示/n_new 是/vshi 施药不当/n_disease 造成/v 的/ude1 药害/n_new 。/wj 可/v 选用/v 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['施药不当'],['微生物菌剂']
11-3,考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
12-1,你好/n_new ，这个/rz 情况/n 考虑/n_new 土壤环境/n_new 差/a 干旱/a 小/a 水/n 就/d 可以/n_new 了/y ，根系吸收/n_new 不良/a 导致/v 生理性/n_new 黄化/n_new ，可用/v 枯草芽孢杆菌/n_disease 或者/c 海藻肥/n_medicine ，腐植酸/n_medicine 灌根/n_new ，叶面/n 可用/a 磷酸二氢钾/n_medicine 或者/c 碧护/n_medicine 缓解/n_new 。/wj ,[],['枯草芽孢杆菌'],"['海藻肥', '腐植酸', '磷酸二氢钾', '碧护']"
12-2,考虑温度不适/n_new ，药害/n_new 或/c 根系发育不良导致/n_disease 建议/n 随/p 水/n 冲施/n_new 腐/vg 殖/w 酸/a +枯草芽孢杆菌/n_disease ，促进根系生长发育/n_new ，叶面喷施/n_new 碧护/n_medicine +磷酸二氢钾/n_medicine 调节/n_new 生长/vn ,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
12-3,根系发育不良/n_disease 冲施/n_new 腐/vg 殖/w 酸/n 和/cc 枯草芽孢杆菌/n_disease 促进根系发育/n_new ,[],"['根系发育不良', '枯草芽孢杆菌']",[]
13-1,缺硼/n_disease 引起/v ，叶面喷施/n_new 速乐硼/n_medicine 。/wj ,[],['缺硼'],['速乐硼']
13-2,缺硼/n_disease 、/wn 钙/n 导致/v 的/ude1 裂纹/n ，叶面喷施/n_new 速乐硼/n_medicine 十螯合钙/n_medicine 。/wj ,[],['缺硼'],"['速乐硼', '十螯合钙']"
13-3,温度/n_new 障碍/n 或/c 缺硼/n_disease 钙元素/n_medicine 导致/v ，叶面/n 用/v 碧护/n_medicine +速乐硼/n_medicine +鳌合钙/n_medicine 喷施/n_new 调节/n_new ,[],['缺硼'],"['钙元素', '碧护', '速乐硼', '鳌合钙']"
14-1,药害/n_new ，叶面喷施/n_new 氨基酸/n_medicine 十芸苔素/n_medicine 或/c 碧护/n_medicine 缓解/n_new 。/wj ,[],[],"['氨基酸', '十芸苔素', '碧护']"
14-2,用药不当/n_disease ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 缓解/n_new 。/wj ,[],['用药不当'],"['碧护', '芸苔素内酯']"
14-3,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
15-1,图片显示/n_new 是/vshi 施药不当/n_disease 造成/v 的/ude1 药害/n_new 。/wj 可/v 选用/v 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['施药不当'],['微生物菌剂']
15-2,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
15-3,病毒病/n_disease ，用/p 宁南霉素/n_medicine ，氨基寡糖素/n_medicine ，香菇/n 多糖/n_new ，盐酸吗啉胍/n_medicine 等/v 防治/vn 。/wj ,[],['病毒病'],"['宁南霉素', '氨基寡糖素', '盐酸吗啉胍']"
16-1,有/vyou 脐腐病/n_disease 可能/n_new 。/wj ,[],['脐腐病'],[]
16-2,生理性/n_new 缺硼/n_disease 钙/n 导致/v 的/ude1 脐腐病/n_disease ，可/v 叶面喷施/n_new 速乐硼/n_medicine ，螯合钙/n_medicine ，磷酸二氢钾/n_medicine 调理/v ,[],"['缺硼', '脐腐病']","['速乐硼', '螯合钙', '磷酸二氢钾']"
16-3,脐腐病/n_disease -/wp 这种/r 情况/n 是/vshi 由于/p 生理性/n_new 缺钙/n_disease 造成/v   建议/n 叶面喷施/n_new 氨基酸/n_medicine 钙/n 或/c 糖醇钙/n_medicine +碧护/n_medicine +磷酸二氢钾/n_medicine 喷雾/n_new 调节/n_new 防治/vn ,[],"['脐腐病', '缺钙']","['氨基酸', '糖醇钙', '碧护', '磷酸二氢钾']"
17-1,是/vshi 的/ude1 ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 。/wj ,[],[],"['碧护', '芸苔素内酯']"
17-2,你好/n_new ，病斑/n_disease 很/d 干净/a ，考虑温度不适/n_new ，考虑/n_new 药害/n_new ，气害灼伤/n_disease 导致/v 生理性/n_new 缺水/v ，可用/v 碧护/n_medicine 或者/c 芸苔素内酯/n_medicine ，磷酸二氢钾/n_medicine ，氨基酸叶面肥/n_medicine 或者/c 黄腐酸/n_medicine 钾/n 叶面肥/n_medicine 喷雾/n_new 缓解/n_new 。/wj ,[],"['病斑', '气害灼伤']","['碧护', '芸苔素内酯', '磷酸二氢钾', '氨基酸叶面肥', '黄腐酸', '叶面肥']"
17-3,高温灼伤/n_disease 引起/v 的/ude1 生理性/n_new 失水/v 或者/c 用药不当/n_disease 引起/v 的/ude1 药害/n_new ，冲施/n_new 腐/vg 殖/w 酸/n 或者/c 生物菌肥/n_medicine 养根/n_new ，叶面喷施/n_new 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag 缓解/n_new ,[],"['高温灼伤', '用药不当']","['生物菌肥', '氨基酸叶面肥']"
18-1,肥害/n_disease ，可/c 选用/v 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['肥害'],['微生物菌剂']
18-2,你好/n_new ，病斑/n_disease 很/d 干净/a ，考虑温度不适/n_new ，考虑/n_new 药害/n_new ，气害灼伤/n_disease 导致/v 生理性/n_new 缺水/v ，可用/v 碧护/n_medicine 或者/c 芸苔素内酯/n_medicine ，磷酸二氢钾/n_medicine ，氨基酸叶面肥/n_medicine 或者/c 黄腐酸/n_medicine 钾/n 叶面肥/n_medicine 喷雾/n_new 缓解/n_new 。/wj ,[],"['病斑', '气害灼伤']","['碧护', '芸苔素内酯', '磷酸二氢钾', '氨基酸叶面肥', '黄腐酸', '叶面肥']"
18-3,高温灼伤/n_disease 引起/v 的/ude1 生理性/n_new 失水/v 或者/c 用药不当/n_disease 引起/v 的/ude1 药害/n_new ，冲施/n_new 腐/vg 殖/w 酸/n 或者/c 生物菌肥/n_medicine 养根/n_new ，叶面喷施/n_new 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag 缓解/n_new ,[],"['高温灼伤', '用药不当']","['生物菌肥', '氨基酸叶面肥']"
19-1,叶/n 甲/Mg 类/q 害虫危害/n_disease 建议使用/n_new 联苯菊酯/n_medicine +烯啶虫胺/n_medicine 或/c 噻虫嗪/n_medicine 喷施防治/n_new ,[],['害虫危害'],"['联苯菊酯', '烯啶虫胺', '噻虫嗪']"
19-3,象/n 甲/Mg 为害/v ，可用/v 噻虫嗪/n_medicine 、/wn 联苯菊酯/n_medicine 、/wn 哒螨灵/n_medicine 、/wn 虫/n 腈/w ·/w 哒螨灵/n_medicine 、/wn 氯虫苯甲酰胺/n_medicine 防治/vn ,[],[],"['噻虫嗪', '联苯菊酯', '哒螨灵', '哒螨灵', '氯虫苯甲酰胺']"
20-1,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
20-2,多/ad 考虑/n_new ，天气变化/n_new 。/wj 温度/n_new 不适/a ，根系吸收/n_new 不良/a ，或者/c 用药/n_new ，导致/v 生理性/n_new 症状/n ，可用/v 生物菌肥/n_medicine 灌根/n_new 养根/n_new ，叶面/n 芸苔素内酯/n_medicine 喷雾/n_new 缓解/n_new ,[],[],"['生物菌肥', '芸苔素内酯']"
20-3,考虑/n_new 用药不当/n_disease 引起/v 的/ude1 药害/n_new ，叶面喷施/n_new 磷酸二氢钾/n_medicine 加/b 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag 或者/c 碧护/n_medicine 缓解/n_new ,[],['用药不当'],"['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
21-1,温度/n_new 不适/a 引起/v 冲施/n_new 腐/vg 殖/w 酸/a 枯草芽孢杆菌/n_disease ，喷/v 施芸/nr 苔/ng 素/ag 氨基酸/n_medicine 二氢/n 钾/n ，注意/v 通风/vi ,[],['枯草芽孢杆菌'],['氨基酸']
21-2,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
21-3,图片显示/n_new 是/vshi 施药不当/n_disease 造成/v 的/ude1 药害/n_new 。/wj 可/v 选用/v 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['施药不当'],['微生物菌剂']
22-1,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
22-2,肥料/n 不足/an ，根系不好/n_disease ，用/v 腐植酸/n_medicine 和/cc 枯草芽孢杆菌/n_disease 灌/v 墩/ng ，叶面喷施/n_new 碧护/n_medicine 和/cc 磷酸二氢钾/n_medicine 。/wj ,[],"['根系不好', '枯草芽孢杆菌']","['腐植酸', '碧护', '磷酸二氢钾']"
22-3,多/ad 考虑/n_new ，天气变化/n_new 。/wj 温度/n_new 不适/a ，根系吸收/n_new 不良/a ，或者/c 用药/n_new ，导致/v 生理性/n_new 症状/n ，可用/v 生物菌肥/n_medicine 灌根/n_new 养根/n_new ，叶面/n 芸苔素内酯/n_medicine 喷雾/n_new 缓解/n_new ,[],[],"['生物菌肥', '芸苔素内酯']"
23-1,根腐病/n_disease ，可用/v 王铜/n_medicine    /w 甲霜灵/n_medicine ，甲/Mg 硫/n    /w 恶霉灵/n_medicine ，枯草芽孢杆菌/n_disease ，多   /w 福/n ，精甲霜灵/n_medicine ，咯菌腈/n_medicine ，戊/Mg 唑/x    /w 福美双/n_medicine 防治/vn ,[],"['根腐病', '枯草芽孢杆菌']","['王铜', '甲霜灵', '恶霉灵', '精甲霜灵', '咯菌腈', '福美双']"
23-2,你好/n_new ，考虑/n_new 根腐病/n_disease ，防治/v 可用精甲/n_new 霜灵/n_medicine 咯菌腈/n_medicine ，枯草芽孢杆菌/n_disease 复配/n_new 甲霜恶霉灵/n_medicine 五百倍/mq 液/ng 灌根/n_new ，连/ulian 用/v 二到/v 三次/qv ，间隔/n 五到/v 七天/qt ，也/d 可/v 用/v 络氨铜/n_medicine ，硫酸铜钙/n_medicine 。/wj ,[],"['根腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵', '络氨铜', '硫酸铜钙']"
23-3,根腐病/n_disease ，25％氰/w 烯/x 菌/n 酯/ng 2000倍/q 或/c 98％恶霉灵/n_medicine 3000倍/q ，50％多菌灵/n_medicine WP500/x 倍/q 或/c 50％福美双/n_medicine 800倍/q 灌根/n_new ，50％敌/vg 克松/nrf WP400/x 倍/q 或/c 3·2％克/q 枯/ag 星/n EC500/x 倍/q ，50％甲/Mg 霜/n 铜/n WP500/x 倍/q 或/c 70％百菌清/n_medicine WP500/x 倍/q ,[],['根腐病'],"['恶霉灵', '多菌灵', '福美双', '百菌清']"
24-1,你好/n_new ，注意/v 炭疽病/n_disease ，防治/v 可用/a ，  42·8%氟菌/n_disease 肟菌酯/n_medicine 1500倍/q 液/ng   10%苯醚甲环唑/n_medicine 1500倍/q 液/ng   25%吡唑醚菌酯/n_medicine 1500倍/q 液/ng   75%肟菌戊唑醇/n_medicine 4000//w 6000倍/q 液/ng   45%咪鲜胺/n_medicine 750//w 1000倍/q 液/ng   22·5%啶氧菌酯/n_medicine ，也/d 可以/n_new 用/v 咪鲜胺/n_medicine 丙森锌/n_medicine ，咪鲜胺/n_medicine 异菌脲/n_medicine ，吡唑醚菌酯/n_medicine 。/wj 结合/v 二氢/n 钾/n 或者/c 氨基酸叶面肥/n_medicine 交替用药/n_new ,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺', '啶氧菌酯', '咪鲜胺', '丙森锌', '咪鲜胺', '异菌脲', '吡唑醚菌酯', '氨基酸叶面肥']"
24-2,炭疽病/n_disease ，发病初期/n_disease 45％扑霉灵/n_medicine EC1500/x －/wp 2000倍/q 或/c 50％施保功/nr WP2000/x 倍/q ，225％阿砣/n_medicine （/wkz 啶氧菌酯/n_medicine ）/wky 1000倍/q 或/c 10％世/q 高/a WG1500/x 倍/q ，75％拿/v 地/ude2 稳/v EC3000/x －/wp 4000倍/q 或/c 施保克/n_medicine 2000－/wp 3000倍/q ，50％美/b 派/nms 安/v WP500/x 倍/q 或/c 25％凯润/nr2 EC2000/x 倍/q ,[],"['炭疽病', '发病初期']","['扑霉灵', '阿砣', '啶氧菌酯', '施保克']"
24-3,炭疽病/n_disease 用/p 苯醚甲环唑/n_medicine 吡唑醚菌酯/n_medicine 溴/ng 菌/n 氰/w ,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯']"
25-1,紫斑病/n_disease ，缺/v 磷/n 导致/v 的/ude1 ，叶面喷施/n_new 磷酸二氢钾/n_medicine 调节/n_new 。/wj ,[],['紫斑病'],['磷酸二氢钾']
25-2,缺/v 磷/n 紫斑病/n_disease ，磷酸二氢钾/n_medicine 调理/v ,[],['紫斑病'],['磷酸二氢钾']
25-3,紫斑病/n_disease ，20％多抗霉素/n_medicine WP/x ：/wp 600倍/q 或/c 75％达科宁/nrf WP/x ：/wp 600－/wp 800倍/q ，50％扑海因/n_medicine WP/x ：/wp 1200－/wp 1500倍/q ，世/ng 高/a 1200倍/q ，克/q 菌/n 康/nr1 800倍/q ，10％宝丽安/nr 600－/wp 800倍/q ，宁南霉素/n_medicine 300倍/q ，64％杀毒矾/n_medicine WP/x ：/wp 600倍/q ，25％凯润/nr2 EC/x ：/wp 2000倍/q ,[],['紫斑病'],"['多抗霉素', '扑海因', '宁南霉素', '杀毒矾']"
26-1,你好/n_new ，注意/v 疫病/n_disease ，防治/v 可用/v 烯酰吗啉/n_medicine ，氟吗啉/n_medicine ，霜霉威盐酸盐/n_medicine ，霜脲锰锌/n_medicine ，甲/Mg 霜/n 锰锌/n_medicine ，增威/nr2 赢/v 绿/an ，银法利/nrf ，氰霜唑/n_medicine 防治/vn ,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
26-2,似/vg 疫病/n_disease ，用/v 甲霜灵/n_medicine 锰锌/n_medicine ，烯酰吗啉/n_medicine ，霜霉威盐酸盐/n_medicine ，克露/n_medicine ，霜疫清/n_medicine 等/udeng 防治/vn 。/wj ,[],['疫病'],"['甲霜灵', '锰锌', '烯酰吗啉', '霜霉威盐酸盐', '克露', '霜疫清']"
26-3,疫病/n_disease ，72·2％普力克/n_medicine AS600/x 倍/q 77％可杀得/n_medicine WP1000/x 倍/q 20％噻/w 森/ag 铜/n SC500/x 倍/q 灌根/n_new 中心/n 周边/n 植株/n 或/c 5％科佳/nrf 1500倍/q ，66·8％霉/n 多克/q WP600/x 倍/q 或/c 50％安克/nrf WP2000/x 倍/q 50％施/v 得益/vi WP500/x －/wp 600倍/q 百泰/b EC1000/x 倍/q ，52·5％抑/vg 快/a 净/a WG2000/x －/wp 3000倍/q ，40％疫/ng 霜灵/n_medicine WP400/x 倍/q 或/c 72％克露/n_medicine WP1000/x 倍/q 25％凯润/nr2 EC2000/x 倍/q ，64％杀毒矾/n_medicine WP600/x 倍/q 或/c 86·2％铜/n 大师/n WP2000/x 倍/q 或/c 80％疫/ng 霜灵/n_medicine WP700/x 倍/q ，68％金雷多米尔/nrf WP1000/x 倍/q ,[],['疫病'],"['普力克', '可杀得', '霜灵', '克露', '杀毒矾', '霜灵']"
